Country,Happiness_rank,Happiness_score,GDP_per_capita,Social_support,Life_expectancy,Freedom,Generosity,Corruption,Year,id
Cyprus,65,5.621,1.3559,1.1314,0.8447,0.3551,0.2713,0.0412,2017,196
Nicaragua,46,6.1371,8.4932,0.8575,67.5072,0.8639,0.021,0.666,2020,558
Nicaragua,45,6.105,0.694,1.325,0.835,0.435,0.2,0.127,2019,558
Nicaragua,41,6.141,0.668,1.319,0.7,0.527,0.208,0.128,2018,558
Nicaragua,57,5.828,0.5933,1.1418,0.7431,0.5548,0.2782,0.1932,2015,558
Nicaragua,48,5.992,0.6938,0.8952,0.6521,0.4658,0.2977,0.1629,2016,558
Nicaragua,43,6.071,0.7373,1.2872,0.6531,0.4476,0.3017,0.1307,2017,558
Romania,47,6.1237,10.1076,0.8252,67.2072,0.8428,-0.1978,0.9343,2020,642
Romania,48,6.07,1.162,1.232,0.825,0.462,0.083,0.005,2019,642
Romania,52,5.945,1.116,1.219,0.726,0.528,0.088,0.001,2018,642
Romania,86,5.124,1.0434,0.8859,0.7689,0.3507,0.1375,0.0065,2015,642
Romania,71,5.528,1.1697,0.728,0.676,0.3671,0.1289,0.0068,2016,642
Romania,57,5.825,1.2177,1.1501,0.6852,0.457,0.1335,0.0044,2017,642
Kuwait,48,6.1021,11.0898,0.8465,66.7676,0.8724,-0.1002,0.7608,2020,414
Kuwait,51,6.021,1.5,1.319,0.808,0.493,0.142,0.097,2019,414
Kuwait,45,6.083,1.474,1.301,0.675,0.554,0.167,0.106,2018,414
Kuwait,39,6.295,1.5542,1.1659,0.7249,0.555,0.1623,0.2561,2015,414
Kuwait,41,6.239,1.6171,0.8776,0.6357,0.4317,0.1596,0.2367,2016,414
Kuwait,39,6.105,1.633,1.2597,0.6321,0.4963,0.2283,0.2152,2017,414
Mauritius,49,6.1013,9.9568,0.9104,66.4043,0.8895,-0.0183,0.8053,2020,480
Mauritius,57,5.888,1.12,1.402,0.798,0.498,0.215,0.06,2019,480
Mauritius,55,5.891,1.09,1.387,0.684,0.584,0.245,0.05,2018,480
Mauritius,71,5.477,1.0076,0.9852,0.7095,0.5607,0.3774,0.0752,2015,480
Mauritius,66,5.648,1.1437,0.757,0.6619,0.4614,0.3695,0.052,2016,480
Mauritius,64,5.629,1.1894,1.2096,0.638,0.4912,0.3609,0.0422,2017,480
Kazakhstan,50,6.0579,10.1147,0.9347,64.61,0.8116,-0.0685,0.7645,2020,398
Kazakhstan,60,5.809,1.173,1.508,0.729,0.41,0.146,0.096,2019,398
Kazakhstan,60,5.79,1.143,1.516,0.631,0.454,0.148,0.121,2018,398
Kazakhstan,54,5.855,1.1225,1.1224,0.6437,0.5165,0.1183,0.0845,2015,398
Kazakhstan,54,5.919,1.2294,0.9554,0.5739,0.4052,0.1501,0.1113,2016,398
Kazakhstan,60,5.819,1.2846,1.3844,0.606,0.4375,0.202,0.1193,2017,398
Estonia,51,6.0218,10.34,0.9347,68.605,0.8777,-0.1117,0.6231,2020,233
Estonia,55,5.893,1.237,1.528,0.874,0.495,0.103,0.161,2019,233
Estonia,63,5.739,1.2,1.532,0.737,0.553,0.086,0.174,2018,233
Estonia,73,5.429,1.1517,1.2279,0.7736,0.4489,0.0868,0.1518,2015,233
Estonia,72,5.517,1.2796,1.0516,0.681,0.4151,0.0842,0.1852,2016,233
Estonia,66,5.611,1.3209,1.4767,0.6952,0.4791,0.0989,0.1832,2017,233
Philippines,52,6.006,8.9935,0.8467,61.9268,0.9155,-0.1055,0.7336,2020,608
Philippines,69,5.631,0.807,1.293,0.657,0.558,0.117,0.107,2019,608
Philippines,71,5.524,0.775,1.312,0.513,0.643,0.12,0.105,2018,608
